NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
126,서울특별시 노원구 상계동,1319,1319,0,무지개원룸,월세,12.85,202312,16,"1,000",46,5,2012,상계로 110-1,202312~202412,신규,-,,,연립다세대
127,서울특별시 노원구 상계동,169-412,169,412,진석빌라,월세,42.68,202312,15,"1,000",36,-1,1992,한글비석로23길 8-3,202402~202602,신규,-,,,연립다세대
128,서울특별시 노원구 상계동,1383-3,1383,3,홍진그린빌라8차,전세,45.15,202312,15,"7,000",0,4,1997,상계로35길 40,202401~202601,갱신,사용,"7,000",0,연립다세대
129,서울특별시 노원구 상계동,1402-4,1402,4,중앙빌라,전세,59.57,202312,15,"12,600",0,2,1996,덕릉로119가길 40-6,202312~202512,갱신,-,"13,000",0,연립다세대
130,서울특별시 노원구 공릉동,115,115,0,태릉현대홈타운스위트1단지,월세,115.975,202312,15,"35,000",150,1,2004,화랑로51나길 15,202401~202601,신규,-,,,연립다세대
131,서울특별시 노원구 공릉동,380-34,380,34,청솔브레싱,전세,29.7,202312,15,"11,000",0,5,2003,동일로191가길 25-8,202401~202601,신규,-,,,연립다세대
132,서울특별시 노원구 공릉동,684-25,684,25,(684-25),월세,30.03,202312,15,"3,000",50,3,2004,화랑로 415-27,202401~202601,신규,-,,,연립다세대
133,서울특별시 노원구 월계동,473-1,473,1,(473-1),월세,17.94,202312,15,"1,000",45,4,2011,광운로2가길 17-8,202403~202602,신규,-,,,연립다세대
134,서울특별시 노원구 하계동,167-22,167,22,피스풀하우스,전세,56.86,202312,15,"23,800",0,2,2014,공릉로58나길 14-38,202401~202601,신규,-,,,연립다세대
135,서울특별시 노원구 상계동,1125,1125,0,수락사회주택,월세,43.24,202312,14,"15,746",34,2,2023,동일로242길 103,-,-,-,,,연립다세대
136,서울특별시 노원구 상계동,138-96,138,96,현대아트빌,전세,46.8,202312,14,"15,700",0,3,2013,한글비석로24바길 38,202402~202602,신규,-,,,연립다세대
137,서울특별시 노원구 월계동,402-21,402,21,준타운,월세,13.12,202312,14,"1,000",54,2,2013,광운로7길 17,202402~202502,신규,-,,,연립다세대
138,서울특별시 노원구 상계동,1125,1125,0,수락사회주택,월세,43.24,202312,14,"15,746",34,2,2023,동일로242길 103,-,-,-,,,연립다세대
139,서울특별시 노원구 중계동,107-14,107,14,동일캐슬,전세,36.47,202312,14,"20,000",0,6,2022,중계로16길 48,202401~202601,신규,-,,,연립다세대
140,서울특별시 노원구 중계동,107-14,107,14,동일캐슬,전세,36.47,202312,14,"20,000",0,6,2022,중계로16길 48,-,-,-,,,연립다세대
141,서울특별시 노원구 하계동,276-5,276,5,청구하계201,전세,134.36,202312,14,"50,000",0,1,1996,공릉로63길 15,202402~202602,신규,-,,,연립다세대
142,서울특별시 노원구 상계동,1125,1125,0,수락사회주택,월세,43.24,202312,14,"15,746",34,2,2023,동일로242길 103,202401~202601,-,-,,,연립다세대
143,서울특별시 노원구 공릉동,596-17,596,17,(596-17),월세,41.64,202312,14,"2,000",73,3,2003,동일로176길 5-17,202402~202602,신규,-,,,연립다세대
144,서울특별시 노원구 공릉동,503-11,503,11,위드빌,월세,16.5,202312,14,"1,000",47,2,2012,동일로186길 53-4,202402~202502,신규,-,,,연립다세대
145,서울특별시 노원구 공릉동,506-33,506,33,진성빌,월세,15.16,202312,14,"5,000",60,5,2013,동일로184길 69-7,202401~202601,신규,-,,,연립다세대
146,서울특별시 노원구 월계동,479-18,479,18,연안주택,월세,14.44,202312,14,"6,800",10,2,2012,광운로2가길 10-10,202401~202601,신규,-,,,연립다세대
147,서울특별시 노원구 월계동,411-15,411,15,제이앤제이하우스,월세,18.45,202312,14,"1,000",42,4,2012,석계로13길 40,202402~202502,신규,-,,,연립다세대
148,서울특별시 노원구 상계동,1048-37,1048,37,(1048-37),전세,27.03,202312,13,"8,400",0,2,2004,동일로237다길 20,202401~202601,신규,-,,,연립다세대
149,서울특별시 노원구 상계동,138-123,138,123,(138-123),전세,32.94,202312,13,"10,000",0,1,1990,한글비석로24바길 64-3,202402~202602,갱신,-,"8,400",0,연립다세대
150,서울특별시 노원구 공릉동,392-6,392,6,럭키빌라,월세,46.54,202312,12,"2,000",63,3,2003,동일로190길 43-4,202402~202602,신규,-,,,연립다세대
151,서울특별시 노원구 월계동,496-52,496,52,(496-52),전세,13.8,202312,12,"6,500",0,4,2012,광운로3길 15-4,202402~202602,신규,-,,,연립다세대
152,서울특별시 노원구 월계동,402-21,402,21,준타운,월세,15.96,202312,12,"1,000",55,2,2013,광운로7길 17,202402~202602,신규,-,,,연립다세대
153,서울특별시 노원구 월계동,411-17,411,17,준파크빌2차(호분할),월세,11.84,202312,12,500,42,3,2009,광운로12길 28,202402~202502,갱신,-,500,40,연립다세대
154,서울특별시 노원구 상계동,1048-81,1048,81,토양맨션B,월세,44.36,202312,12,"4,000",60,3,1996,동일로237다길 6,202401~202601,신규,-,,,연립다세대
155,서울특별시 노원구 공릉동,230-14,230,14,경춘빌라,전세,32.52,202312,12,"15,000",0,2,1987,노원로 41,202401~202601,-,-,,,연립다세대
156,서울특별시 노원구 공릉동,230-14,230,14,경춘빌라,전세,32.52,202312,12,"15,000",0,2,1987,노원로 41,-,-,-,,,연립다세대
157,서울특별시 노원구 공릉동,584-22,584,22,(584-22),전세,31.08,202312,12,"18,000",0,2,2013,동일로178길 29-3,-,-,-,,,연립다세대
158,서울특별시 노원구 월계동,402-26,402,26,(402-26),전세,43.81,202312,11,"6,500",0,-1,1994,광운로7길 21,202312~202512,신규,-,,,연립다세대
159,서울특별시 노원구 공릉동,320-110,320,110,JH.VILLAGE,월세,20.26,202312,11,500,40,2,2013,공릉로29길 3,202312~202512,신규,-,,,연립다세대
160,서울특별시 노원구 상계동,1113-36,1113,36,삼정하우스,월세,20.21,202312,11,"1,000",35,3,2013,동일로241나길 11,-,-,-,,,연립다세대
161,서울특별시 노원구 월계동,429-29,429,29,신건안고시텔,월세,55.01,202312,11,"1,000",44,2,2004,석계로13길 11-4,202312~202412,신규,-,,,연립다세대
