NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
168,서울특별시 노원구 공릉동,3**,8m미만,20.0,전세,202212,20,9000,0,2017.0,동일로193가길,202302~202402,신규,-,,,단독다가구
169,서울특별시 노원구 공릉동,5**,12m미만,20.0,전세,202212,20,9000,0,2016.0,동일로186길,202302~202402,신규,-,,,단독다가구
170,서울특별시 노원구 공릉동,6**,12m미만,20.0,전세,202212,20,9000,0,2010.0,화랑로,202301~202501,신규,-,,,단독다가구
171,서울특별시 노원구 공릉동,3**,8m미만,17.0,전세,202212,20,9000,0,2010.0,동일로190길,202212~202312,신규,-,,,단독다가구
172,서울특별시 노원구 공릉동,4**,8m미만,15.0,전세,202212,20,8500,0,2015.0,공릉로41마길,202302~202402,신규,-,,,단독다가구
173,서울특별시 노원구 공릉동,4**,8m미만,16.0,전세,202212,20,8500,0,2014.0,공릉로43가길,202302~202402,신규,-,,,단독다가구
174,서울특별시 노원구 하계동,7*,8m미만,42.0,전세,202212,20,20000,0,2021.0,공릉로58라길,202301~202501,신규,-,,,단독다가구
175,서울특별시 노원구 상계동,1***,-,57.1,전세,202212,20,15000,0,1995.0,,-,-,-,,,단독다가구
176,서울특별시 노원구 공릉동,5**,8m미만,30.0,전세,202212,19,10000,0,1995.0,동일로186길,-,-,-,,,단독다가구
177,서울특별시 노원구 공릉동,4**,-,15.0,전세,202212,19,9000,0,2014.0,,-,-,-,,,단독다가구
178,서울특별시 노원구 공릉동,5**,8m미만,20.0,전세,202212,19,7000,0,2013.0,동일로186길,-,-,-,,,단독다가구
179,서울특별시 노원구 공릉동,5**,8m미만,18.0,전세,202212,19,8500,0,2012.0,동일로186길,202302~202402,신규,-,,,단독다가구
