NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
2344,서울특별시 송파구 문정동,652,652,0,송파법조타운푸르지오시티,전세,20.45,202404,16,"19,200",0,11,2018,법원로4길 5,202406~202506,신규,-,,
2345,서울특별시 송파구 문정동,618,618,0,파크하비오,월세,48.93,202404,16,"2,000",160,4,, ,202404~202504,갱신,사용,"2,000",155
2346,서울특별시 송파구 문정동,652-4,652,4,힐스테이트에코문정,월세,20.79,202404,16,"3,000",55,13,2018,법원로4길 10,202404~202504,신규,-,,
2347,서울특별시 송파구 문정동,652-1,652,1,프라비다옥토,월세,19.74,202404,16,"1,000",80,9,2016,법원로4길 17,202404~202504,신규,-,,
2348,서울특별시 송파구 문정동,652-4,652,4,힐스테이트에코문정,월세,37.88,202404,16,"35,590",8,15,2018,법원로4길 10,202404~202604,갱신,-,"35,590",0
2349,서울특별시 송파구 문정동,624,624,0,송파 아이파크,월세,25.87,202404,16,"20,250",10,5,2015,법원로 55,202404~202604,신규,-,,
2350,서울특별시 송파구 문정동,620,620,0,송파푸르지오시티,전세,30,202404,16,"23,010",0,5,2013,새말로 62,202405~202406,갱신,-,"23,000",0
2351,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,월세,29.96,202404,16,"2,000",100,8,2013,충민로 5,202405~202505,신규,-,,
2352,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,월세,26.82,202404,16,"19,000",15,3,2013,충민로 5,202405~202605,신규,-,,
2353,서울특별시 송파구 석촌동,175-6,175,6,(175-6),월세,17.68,202404,16,"4,000",33,3,2004,백제고분로39길 10-6,202406~202606,신규,-,,
2354,서울특별시 송파구 잠실동,178-6,178,6,잠실 M타워,월세,17.17,202404,16,"1,000",77,7,2018,올림픽로8길 7,202404~202504,신규,-,,
2355,서울특별시 송파구 잠실동,176-8,176,8,(176-8),전세,21.37,202404,16,"17,000",0,14,2012,백제고분로7길 7-9,202406~202606,신규,-,,
2356,서울특별시 송파구 잠실동,336-8,336,8,뜨레피움1차,전세,20.25,202404,16,"18,700",0,5,2018,삼전로 53,202405~202605,갱신,-,"18,700",0
2357,서울특별시 송파구 방이동,Aug-41,41,8,잠실 벨솔레 오피스텔,전세,29.69,202404,16,"29,500",0,17,2020,올림픽로34길 5-13,202405~202605,신규,-,,
2358,서울특별시 송파구 방이동,Mar-38,38,3,더 엘라소프 잠실,전세,51.63,202404,16,"50,800",0,10,2024,오금로11길 29,202406~202606,신규,-,,
2359,서울특별시 송파구 방이동,Jan-41,41,1,잠실파크웨이,전세,19.13,202404,15,"18,540",0,15,2019,올림픽로34길 5-23,202405~202505,갱신,-,15,0
2360,서울특별시 송파구 방이동,Aug-41,41,8,잠실 벨솔레 오피스텔,월세,29.69,202404,15,"10,000",71,14,2020,올림픽로34길 5-13,202405~202603,갱신,-,"10,000",65
2361,서울특별시 송파구 문정동,618,618,0,파크하비오,전세,48.96,202404,15,"40,000",0,18,, ,202405~202605,신규,-,,
2362,서울특별시 송파구 가락동,171,171,0,현진타워,월세,42.18,202404,15,"3,000",100,5,2015,오금로44가길 13,202405~202605,신규,-,,
2363,서울특별시 송파구 방이동,Sep-49,49,9,(49-9),월세,16.01,202404,15,"1,000",85,5,2021, ,202404~202504,신규,-,,
2364,서울특별시 송파구 방이동,Sep-49,49,9,(49-9),월세,16.01,202404,15,"1,000",85,8,2021, ,202404~202504,신규,-,,
2365,서울특별시 송파구 방이동,47,47,0,잠실헤리츠,월세,18.22,202404,15,"1,000",72,13,2017, ,202406~202506,신규,-,,
2366,서울특별시 송파구 방이동,Aug-41,41,8,잠실 벨솔레 오피스텔,전세,29.69,202404,15,"29,700",0,17,2020,올림픽로34길 5-13,202406~202606,신규,-,,
2367,서울특별시 송파구 방이동,Jan-41,41,1,잠실파크웨이,월세,19.13,202404,15,"18,540",15,15,2019,올림픽로34길 5-23,202405~202505,갱신,사용,"21,000",0
2368,서울특별시 송파구 문정동,652-5,652,5,문정 아이파크,월세,25.77,202404,15,"2,000",95,6,2017,법원로4길 6,202405~202505,신규,-,,
2369,서울특별시 송파구 문정동,624,624,0,송파 아이파크,전세,25.87,202404,15,"20,250",0,5,2015,법원로 55,202404~202602,갱신,-,"23,000",0
2370,서울특별시 송파구 문정동,652-4,652,4,힐스테이트에코문정,월세,20.79,202404,15,"10,000",45,4,2018,법원로4길 10,202405~202505,신규,-,,
2371,서울특별시 송파구 문정동,652-2,652,2,문정 오벨리스크,월세,27.39,202404,15,"1,000",99,7,2018,송파대로 145,202405~202505,갱신,-,"1,000",95
2372,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,전세,29.99,202404,15,"24,000",0,8,2013,충민로 5,202405~202605,신규,-,,
2373,서울특별시 송파구 문정동,643-1,643,1,엠스테이트,월세,32.43,202404,15,"10,000",52,14,2016,법원로 114,202404~202504,신규,-,,
2374,서울특별시 송파구 문정동,624,624,0,송파 아이파크,전세,29.83,202404,15,"25,000",0,8,2015,법원로 55,202405~202605,갱신,-,"26,000",0
2375,서울특별시 송파구 방이동,42,42,0,잠실역 웰리지 더테라스,전세,24.12,202404,15,"27,000",0,18,2023,올림픽로34길 5-14,202405~202605,신규,-,,
2376,서울특별시 송파구 방이동,Mar-38,38,3,더 엘라소프 잠실,월세,51.63,202404,15,"5,500",230,5,2024,오금로11길 29,202405~202505,신규,-,,
2377,서울특별시 송파구 방이동,Mar-38,38,3,더 엘라소프 잠실,월세,29.6,202404,15,"3,000",145,6,2024,오금로11길 29,202404~202504,신규,-,,
2378,서울특별시 송파구 방이동,Mar-40,40,3,올림픽파크뷰,월세,30.39,202404,15,"1,000",80,2,2004,올림픽로 374,202404~202504,갱신,-,"1,000",76
2379,서울특별시 송파구 방이동,50,50,0,잠실엘퍼스트오피스텔,월세,18.07,202404,15,"1,000",75,5,2019,백제고분로51길 7,202405~202505,신규,-,,
2380,서울특별시 송파구 방이동,47,47,0,잠실헤리츠,월세,16.43,202404,13,"1,000",68,10,2017, ,202406~202505,갱신,-,"1,000",65
2381,서울특별시 송파구 문정동,652-4,652,4,힐스테이트에코문정,월세,20.79,202404,13,"19,300",10,13,2018,법원로4길 10,202406~202606,신규,-,,
2382,서울특별시 송파구 문정동,652-4,652,4,힐스테이트에코문정,월세,20.79,202404,13,"19,300",10,13,2018,법원로4길 10,202407~202607,갱신,-,"19,300",0
2383,서울특별시 송파구 문정동,652-5,652,5,문정 아이파크,월세,21.57,202404,13,"10,000",48,10,2017,법원로4길 6,202404~202504,갱신,-,"10,000",48
